,x,y,z,,,,,,,,,,,,,,,,,,119.0466667,278.59,235.61
115,3.31,-7.813333333,6.846666667,,,0.17,0.993333334,0.47,0.17,0.993333334,-0.47,,,,,,0.17,0.993333334,-0.47,,0.17,0.993333334,0.47
116,2.773333333,-6.97,6.723333333,,,0.536666667,0.843333333,0.123333334,-0.536666667,0.843333333,-0.123333334,,,,,,-0.536666667,0.843333333,-0.123333334,,0.536666667,0.843333333,0.123333334
117,2.9,-6.946666667,5.423333333,,,0.126666667,0.023333333,1.3,0.126666667,0.023333333,-1.3,,,,,,0.126666667,0.023333333,-1.3,,0.126666667,0.023333333,1.3
118,2.68,-7.276666667,6.93,,,0.22,0.33,1.506666667,-0.22,-0.33,1.506666667,,,,,,-0.22,-0.33,1.506666667,,0.22,0.33,1.506666667
119,3.136666667,-8.306666667,7.056666667,,,0.456666667,1.03,0.126666667,0.456666667,-1.03,0.126666667,,,,,,0.456666667,-1.03,0.126666667,,0.456666667,1.03,0.126666667
120,3.406666667,-9.27,7.746666667,,,0.27,0.963333333,0.69,0.27,-0.963333333,0.69,,,,,,0.27,-0.963333333,0.69,,0.27,0.963333333,0.69
121,3.48,-8.93,7.406666667,,,0.073333333,0.34,0.34,0.073333333,0.34,-0.34,,,,,,0.073333333,0.34,-0.34,,0.073333333,0.34,0.34
122,3.313333333,-8.093333333,6.06,,,0.166666667,0.836666667,1.346666667,-0.166666667,0.836666667,-1.346666667,,,,,,-0.166666667,0.836666667,-1.346666667,,0.166666667,0.836666667,1.346666667
123,3.013333333,-6.453333333,6.536666667,,,0.3,1.64,0.476666667,-0.3,1.64,0.476666667,,,,,,-0.3,1.64,0.476666667,,0.3,1.64,0.476666667
124,3.206666667,-6.656666667,5.88,,,0.193333334,0.203333334,0.656666667,0.193333334,-0.203333334,-0.656666667,,,,,,0.193333334,-0.203333334,-0.656666667,,0.193333334,0.203333334,0.656666667
125,3.23,-7.113333333,7.006666667,,,0.023333333,0.456666666,1.126666667,0.023333333,-0.456666666,1.126666667,,,,,,0.023333333,-0.456666666,1.126666667,,0.023333333,0.456666666,1.126666667
126,3.413333333,-8.53,7.053333333,,,0.183333333,1.416666667,0.046666666,0.183333333,-1.416666667,0.046666666,,,,,,0.183333333,-1.416666667,0.046666666,,0.183333333,1.416666667,0.046666666
127,3.446666667,-8.356666667,7.003333333,,,0.033333334,0.173333333,0.05,0.033333334,0.173333333,-0.05,,,,,,0.033333334,0.173333333,-0.05,,0.033333334,0.173333333,0.05
